Area,Age,Gender,Population,
RileyPark,70-74 years,Female,365,
RileyPark,75-79 years,Female,325,
RileyPark,80-84 years,Female,230,
RileyPark,85+,Female,215,
Shaughnessy,0-4 years,Male,180,
Shaughnessy,5-9 years,Male,215,
Shaughnessy,10-14 years,Male,290,
Shaughnessy,15-19 years,Male,285,
Shaughnessy,15 years,Male,50,
Shaughnessy,16 years,Male,65,
Shaughnessy,17 years,Male,75,
Shaughnessy,18 years,Male,50,
Shaughnessy,19 years,Male,55,
Shaughnessy,20-24 years,Male,320,
Shaughnessy,25-29 years,Male,250,
Shaughnessy,30-34 years,Male,175,
Shaughnessy,35-39 years,Male,145,
Shaughnessy,40-44 years,Male,295,
Shaughnessy,45-49 years,Male,290,
Shaughnessy,50-54 years,Male,305,
Shaughnessy,55-59 years,Male,300,
Shaughnessy,60-64 years,Male,320,
Shaughnessy,65-69 years,Male,235,
Shaughnessy,70-74 years,Male,160,
Shaughnessy,75-79 years,Male,140,
Shaughnessy,80-84 years,Male,105,
Shaughnessy,85+,Male,130,
Shaughnessy,0-4 years,Female,155,
Shaughnessy,5-9 years,Female,215,
Shaughnessy,10-14 years,Female,260,
Shaughnessy,15-19 years,Female,290,
Shaughnessy,15 years,Female,60,
Shaughnessy,16 years,Female,65,
Shaughnessy,17 years,Female,60,
Shaughnessy,18 years,Female,60,
Shaughnessy,19 years,Female,45,
Shaughnessy,20-24 years,Female,305,
Shaughnessy,25-29 years,Female,305,
Shaughnessy,30-34 years,Female,225,
Shaughnessy,35-39 years,Female,205,
Shaughnessy,40-44 years,Female,365,
Shaughnessy,45-49 years,Female,380,
Shaughnessy,50-54 years,Female,345,
Shaughnessy,55-59 years,Female,360,
Shaughnessy,60-64 years,Female,355,
Shaughnessy,65-69 years,Female,200,
Shaughnessy,70-74 years,Female,155,
Shaughnessy,75-79 years,Female,150,
Shaughnessy,80-84 years,Female,145,
Shaughnessy,85+,Female,235,
SouthCambie,0-4 years,Male,210,
SouthCambie,5-9 years,Male,185,
SouthCambie,10-14 years,Male,180,
SouthCambie,15-19 years,Male,170,
SouthCambie,15 years,Male,35,
SouthCambie,16 years,Male,35,
SouthCambie,17 years,Male,45,
SouthCambie,18 years,Male,35,
SouthCambie,19 years,Male,25,
SouthCambie,20-24 years,Male,260,
SouthCambie,25-29 years,Male,300,
SouthCambie,30-34 years,Male,320,
SouthCambie,35-39 years,Male,295,
SouthCambie,40-44 years,Male,300,
SouthCambie,45-49 years,Male,280,
SouthCambie,50-54 years,Male,235,
SouthCambie,55-59 years,Male,200,
SouthCambie,60-64 years,Male,190,
SouthCambie,65-69 years,Male,130,
SouthCambie,70-74 years,Male,100,
SouthCambie,75-79 years,Male,85,
SouthCambie,80-84 years,Male,85,
SouthCambie,85+,Male,105,
SouthCambie,0-4 years,Female,180,
SouthCambie,5-9 years,Female,180,
SouthCambie,10-14 years,Female,160,
SouthCambie,15-19 years,Female,185,
SouthCambie,15 years,Female,40,
SouthCambie,16 years,Female,30,
SouthCambie,17 years,Female,40,
SouthCambie,18 years,Female,35,
SouthCambie,19 years,Female,35,
SouthCambie,20-24 years,Female,245,
SouthCambie,25-29 years,Female,380,
SouthCambie,30-34 years,Female,340,
SouthCambie,35-39 years,Female,340,
SouthCambie,40-44 years,Female,340,
SouthCambie,45-49 years,Female,295,
SouthCambie,50-54 years,Female,270,
SouthCambie,55-59 years,Female,225,
SouthCambie,60-64 years,Female,225,
SouthCambie,65-69 years,Female,130,
SouthCambie,70-74 years,Female,125,
SouthCambie,75-79 years,Female,110,
SouthCambie,80-84 years,Female,115,
SouthCambie,85+,Female,195,
Strathcona,0-4 years,Male,190,
Strathcona,5-9 years,Male,160,
Strathcona,10-14 years,Male,175,
Strathcona,15-19 years,Male,205,
Strathcona,15 years,Male,35,
Strathcona,16 years,Male,50,
Strathcona,17 years,Male,40,
Strathcona,18 years,Male,40,
Strathcona,19 years,Male,45,
Strathcona,20-24 years,Male,260,
Strathcona,25-29 years,Male,390,
Strathcona,30-34 years,Male,425,
Strathcona,35-39 years,Male,470,
Strathcona,40-44 years,Male,510,
Strathcona,45-49 years,Male,695,
Strathcona,50-54 years,Male,725,
Strathcona,55-59 years,Male,640,
Strathcona,60-64 years,Male,640,
Strathcona,65-69 years,Male,415,
Strathcona,70-74 years,Male,315,
Strathcona,75-79 years,Male,300,
Strathcona,80-84 years,Male,205,
Strathcona,85+,Male,140,
Strathcona,0-4 years,Female,175,
Strathcona,5-9 years,Female,150,
Strathcona,10-14 years,Female,165,
Strathcona,15-19 years,Female,180,
Strathcona,15 years,Female,35,
Strathcona,16 years,Female,30,
Strathcona,17 years,Female,25,
Strathcona,18 years,Female,50,
Strathcona,19 years,Female,45,
Strathcona,20-24 years,Female,245,
Strathcona,25-29 years,Female,415,
Strathcona,30-34 years,Female,420,
Strathcona,35-39 years,Female,345,
Strathcona,40-44 years,Female,335,
Strathcona,45-49 years,Female,425,
Strathcona,50-54 years,Female,405,
Strathcona,55-59 years,Female,370,
Strathcona,60-64 years,Female,295,
Strathcona,65-69 years,Female,225,
Strathcona,70-74 years,Female,285,
Strathcona,75-79 years,Female,280,
Strathcona,80-84 years,Female,230,
Strathcona,85+,Female,355,
Sunset,0-4 years,Male,"1,000",
Sunset,5-9 years,Male,"1,060",
Sunset,10-14 years,Male,"1,230",
Sunset,15-19 years,Male,"1,205",
Sunset,15 years,Male,240,
Sunset,16 years,Male,260,
Sunset,17 years,Male,230,
Sunset,18 years,Male,245,
Sunset,19 years,Male,230,
Sunset,20-24 years,Male,"1,400",
Sunset,25-29 years,Male,"1,335",
Sunset,30-34 years,Male,"1,250",
Sunset,35-39 years,Male,"1,220",
Sunset,40-44 years,Male,"1,310",
Sunset,45-49 years,Male,"1,395",
Sunset,50-54 years,Male,"1,260",
Sunset,55-59 years,Male,995,
Sunset,60-64 years,Male,910,
Sunset,65-69 years,Male,605,
Sunset,70-74 years,Male,575,
Sunset,75-79 years,Male,510,
Sunset,80-84 years,Male,345,
Sunset,85+,Male,220,
Sunset,0-4 years,Female,960,
Sunset,5-9 years,Female,920,
Sunset,10-14 years,Female,"1,085",
Sunset,15-19 years,Female,"1,120",
Sunset,15 years,Female,220,
Sunset,16 years,Female,235,
Sunset,17 years,Female,250,
Sunset,18 years,Female,225,
Sunset,19 years,Female,195,
Sunset,20-24 years,Female,"1,260",
Sunset,25-29 years,Female,"1,315",
Sunset,30-34 years,Female,"1,315",
Sunset,35-39 years,Female,"1,430",
Sunset,40-44 years,Female,"1,455",
Sunset,45-49 years,Female,"1,410",
Sunset,50-54 years,Female,"1,305",
Sunset,55-59 years,Female,"1,150",
Sunset,60-64 years,Female,"1,005",
Sunset,65-69 years,Female,730,
Sunset,70-74 years,Female,660,
Sunset,75-79 years,Female,575,
Sunset,80-84 years,Female,405,
Sunset,85+,Female,355,
Victoria-Fraserview,0-4 years,Male,615,
Victoria-Fraserview,5-9 years,Male,680,
Victoria-Fraserview,10-14 years,Male,900,
Victoria-Fraserview,15-19 years,Male,"1,105",
Victoria-Fraserview,15 years,Male,210,
Victoria-Fraserview,16 years,Male,230,
Victoria-Fraserview,17 years,Male,215,
Victoria-Fraserview,18 years,Male,240,
Victoria-Fraserview,19 years,Male,210,
Victoria-Fraserview,20-24 years,Male,"1,225",
Victoria-Fraserview,25-29 years,Male,"1,005",
Victoria-Fraserview,30-34 years,Male,845,
Victoria-Fraserview,35-39 years,Male,740,
Victoria-Fraserview,40-44 years,Male,960,
Victoria-Fraserview,45-49 years,Male,"1,145",
Victoria-Fraserview,50-54 years,Male,"1,165",
Victoria-Fraserview,55-59 years,Male,"1,100",
Victoria-Fraserview,60-64 years,Male,980,
Victoria-Fraserview,65-69 years,Male,570,
Victoria-Fraserview,70-74 years,Male,520,
Victoria-Fraserview,75-79 years,Male,505,
Victoria-Fraserview,80-84 years,Male,375,
Victoria-Fraserview,85+,Male,275,
Victoria-Fraserview,0-4 years,Female,545,
Victoria-Fraserview,5-9 years,Female,590,
Victoria-Fraserview,10-14 years,Female,750,
Victoria-Fraserview,15-19 years,Female,980,
Victoria-Fraserview,15 years,Female,195,
Victoria-Fraserview,16 years,Female,195,
Victoria-Fraserview,17 years,Female,200,
Victoria-Fraserview,18 years,Female,190,
Victoria-Fraserview,19 years,Female,190,
Victoria-Fraserview,20-24 years,Female,"1,170",
Victoria-Fraserview,25-29 years,Female,"1,025",
Victoria-Fraserview,30-34 years,Female,920,
Victoria-Fraserview,35-39 years,Female,975,
Victoria-Fraserview,40-44 years,Female,"1,085",
Victoria-Fraserview,45-49 years,Female,"1,335",
Victoria-Fraserview,50-54 years,Female,"1,370",
Victoria-Fraserview,55-59 years,Female,"1,175",
Victoria-Fraserview,60-64 years,Female,"1,035",
Victoria-Fraserview,65-69 years,Female,630,
Victoria-Fraserview,70-74 years,Female,695,
Victoria-Fraserview,75-79 years,Female,560,
Victoria-Fraserview,80-84 years,Female,485,
Victoria-Fraserview,85+,Female,690,
WestEnd,0-4 years,Male,490,
WestEnd,5-9 years,Male,240,
WestEnd,10-14 years,Male,160,
WestEnd,15-19 years,Male,370,
WestEnd,15 years,Male,45,
WestEnd,16 years,Male,40,
WestEnd,17 years,Male,50,
WestEnd,18 years,Male,75,
WestEnd,19 years,Male,155,
WestEnd,20-24 years,Male,"1,815",
WestEnd,25-29 years,Male,"3,465",
WestEnd,30-34 years,Male,"3,060",
WestEnd,35-39 years,Male,"2,350",
WestEnd,40-44 years,Male,"2,175",
WestEnd,45-49 years,Male,"2,095",
WestEnd,50-54 years,Male,"1,665",
WestEnd,55-59 years,Male,"1,470",
WestEnd,60-64 years,Male,"1,360",
WestEnd,65-69 years,Male,985,
WestEnd,70-74 years,Male,680,
WestEnd,75-79 years,Male,395,
WestEnd,80-84 years,Male,305,
WestEnd,85+,Male,240,
WestEnd,0-4 years,Female,470,
WestEnd,5-9 years,Female,220,
WestEnd,10-14 years,Female,165,
WestEnd,15-19 years,Female,385,
WestEnd,15 years,Female,40,
WestEnd,16 years,Female,40,
WestEnd,17 years,Female,60,
WestEnd,18 years,Female,90,
WestEnd,19 years,Female,155,
WestEnd,20-24 years,Female,"2,085",
WestEnd,25-29 years,Female,"3,645",
WestEnd,30-34 years,Female,"2,850",
WestEnd,35-39 years,Female,"1,950",
WestEnd,40-44 years,Female,"1,470",
WestEnd,45-49 years,Female,"1,315",
WestEnd,50-54 years,Female,"1,320",
WestEnd,55-59 years,Female,"1,275",
WestEnd,60-64 years,Female,"1,105",
WestEnd,65-69 years,Female,915,
WestEnd,70-74 years,Female,610,
WestEnd,75-79 years,Female,500,
WestEnd,80-84 years,Female,455,
WestEnd,85+,Female,480,
WestPointGrey,0-4 years,Male,275,
WestPointGrey,5-9 years,Male,330,
WestPointGrey,10-14 years,Male,375,
WestPointGrey,15-19 years,Male,395,
WestPointGrey,15 years,Male,65,
WestPointGrey,16 years,Male,80,
WestPointGrey,17 years,Male,90,
WestPointGrey,18 years,Male,75,
WestPointGrey,19 years,Male,85,
WestPointGrey,20-24 years,Male,505,
WestPointGrey,25-29 years,Male,410,
WestPointGrey,30-34 years,Male,270,
WestPointGrey,35-39 years,Male,280,
WestPointGrey,40-44 years,Male,425,
WestPointGrey,45-49 years,Male,520,
WestPointGrey,50-54 years,Male,415,
WestPointGrey,55-59 years,Male,455,
WestPointGrey,60-64 years,Male,480,
WestPointGrey,65-69 years,Male,330,
WestPointGrey,70-74 years,Male,235,
WestPointGrey,75-79 years,Male,150,
WestPointGrey,80-84 years,Male,130,
WestPointGrey,85+,Male,100,
WestPointGrey,0-4 years,Female,230,
WestPointGrey,5-9 years,Female,360,
WestPointGrey,10-14 years,Female,370,
WestPointGrey,15-19 years,Female,405,
WestPointGrey,15 years,Female,75,
WestPointGrey,16 years,Female,75,
WestPointGrey,17 years,Female,100,
WestPointGrey,18 years,Female,90,
WestPointGrey,19 years,Female,65,
WestPointGrey,20-24 years,Female,495,
WestPointGrey,25-29 years,Female,425,
WestPointGrey,30-34 years,Female,290,
WestPointGrey,35-39 years,Female,380,
WestPointGrey,40-44 years,Female,545,
WestPointGrey,45-49 years,Female,540,
WestPointGrey,50-54 years,Female,505,
WestPointGrey,55-59 years,Female,515,
WestPointGrey,60-64 years,Female,510,
WestPointGrey,65-69 years,Female,360,
WestPointGrey,70-74 years,Female,240,
WestPointGrey,75-79 years,Female,185,
WestPointGrey,80-84 years,Female,180,
WestPointGrey,85+,Female,170,
