Area,Age,Gender,Population,
Dunbar-Southlands,70-74 years,Female,395,
Dunbar-Southlands,75-79 years,Female,290,
Dunbar-Southlands,80-84 years,Female,210,
Dunbar-Southlands,85+,Female,280,
Fairview,0-4 years,Male,550,
Fairview,5-9 years,Male,315,
Fairview,10-14 years,Male,245,
Fairview,15-19 years,Male,310,
Fairview,15 years,Male,55,
Fairview,16 years,Male,55,
Fairview,17 years,Male,55,
Fairview,18 years,Male,70,
Fairview,19 years,Male,80,
Fairview,20-24 years,Male,785,
Fairview,25-29 years,Male,"1,785",
Fairview,30-34 years,Male,"1,860",
Fairview,35-39 years,Male,"1,425",
Fairview,40-44 years,Male,"1,245",
Fairview,45-49 years,Male,"1,030",
Fairview,50-54 years,Male,925,
Fairview,55-59 years,Male,810,
Fairview,60-64 years,Male,825,
Fairview,65-69 years,Male,595,
Fairview,70-74 years,Male,395,
Fairview,75-79 years,Male,325,
Fairview,80-84 years,Male,255,
Fairview,85+,Male,225,
Fairview,0-4 years,Female,525,
Fairview,5-9 years,Female,295,
Fairview,10-14 years,Female,280,
Fairview,15-19 years,Female,305,
Fairview,15 years,Female,45,
Fairview,16 years,Female,50,
Fairview,17 years,Female,50,
Fairview,18 years,Female,75,
Fairview,19 years,Female,90,
Fairview,20-24 years,Female,990,
Fairview,25-29 years,Female,"2,335",
Fairview,30-34 years,Female,"2,140",
Fairview,35-39 years,Female,"1,550",
Fairview,40-44 years,Female,"1,425",
Fairview,45-49 years,Female,"1,240",
Fairview,50-54 years,Female,"1,180",
Fairview,55-59 years,Female,"1,185",
Fairview,60-64 years,Female,"1,170",
Fairview,65-69 years,Female,805,
Fairview,70-74 years,Female,560,
Fairview,75-79 years,Female,460,
Fairview,80-84 years,Female,410,
Fairview,85+,Female,655,
Grandview-Woodland,0-4 years,Male,600,
Grandview-Woodland,5-9 years,Male,495,
Grandview-Woodland,10-14 years,Male,440,
Grandview-Woodland,15-19 years,Male,480,
Grandview-Woodland,15 years,Male,100,
Grandview-Woodland,16 years,Male,90,
Grandview-Woodland,17 years,Male,90,
Grandview-Woodland,18 years,Male,100,
Grandview-Woodland,19 years,Male,95,
Grandview-Woodland,20-24 years,Male,770,
Grandview-Woodland,25-29 years,Male,"1,425",
Grandview-Woodland,30-34 years,Male,"1,395",
Grandview-Woodland,35-39 years,Male,"1,310",
Grandview-Woodland,40-44 years,Male,"1,200",
Grandview-Woodland,45-49 years,Male,"1,130",
Grandview-Woodland,50-54 years,Male,"1,020",
Grandview-Woodland,55-59 years,Male,900,
Grandview-Woodland,60-64 years,Male,775,
Grandview-Woodland,65-69 years,Male,440,
Grandview-Woodland,70-74 years,Male,290,
